week,BRK
11/13/16,14
11/20/16,22
11/27/16,17
12/4/16,16
12/11/16,24
12/18/16,16
12/25/16,24
1/1/17,21
1/8/17,24
1/15/17,14
1/22/17,26
1/29/17,17
2/5/17,22
2/12/17,27
2/19/17,40
2/26/17,23
3/5/17,40
3/12/17,37
3/19/17,15
3/26/17,46
4/2/17,14
4/9/17,24
4/16/17,42
4/23/17,31
4/30/17,67
5/7/17,55
5/14/17,31
5/21/17,36
5/28/17,20
6/4/17,20
6/11/17,30
6/18/17,40
6/25/17,14
7/2/17,46
7/9/17,30
7/16/17,25
7/23/17,34
7/30/17,29
8/6/17,58
8/13/17,29
8/20/17,18
8/27/17,21
9/3/17,18
9/10/17,12
9/17/17,22
9/24/17,27
10/1/17,13
10/8/17,13
10/15/17,46
10/22/17,21
10/29/17,22
11/5/17,47
11/12/17,14
11/19/17,31
11/26/17,27
12/3/17,52
12/10/17,36
12/17/17,15
12/24/17,17
12/31/17,43
1/7/18,44
1/14/18,20
1/21/18,35
1/28/18,77
2/4/18,30
2/11/18,35
2/18/18,69
2/25/18,29
3/4/18,30
3/11/18,43
3/18/18,36
3/25/18,23
4/1/18,23
4/8/18,30
4/15/18,29
4/22/18,25
4/29/18,100
5/6/18,31
5/13/18,31
5/20/18,28
5/27/18,17
6/3/18,58
6/10/18,28
6/17/18,32
6/24/18,17
7/1/18,30
7/8/18,17
7/15/18,35
7/22/18,35
7/29/18,41
8/5/18,35
8/12/18,30
8/19/18,35
8/26/18,34
9/2/18,41
9/9/18,30
9/16/18,16
9/23/18,43
9/30/18,53
10/7/18,37
10/14/18,25
10/21/18,27
10/28/18,58
11/4/18,14
11/11/18,28
11/18/18,40
11/25/18,22
12/2/18,38
12/9/18,23
12/16/18,19
12/23/18,30
12/30/18,29
1/6/19,17
1/13/19,28
1/20/19,51
1/27/19,33
2/3/19,16
2/10/19,50
2/17/19,61
2/24/19,32
3/3/19,23
3/10/19,33
3/17/19,17
3/24/19,30
3/31/19,24
4/7/19,36
4/14/19,18
4/21/19,36
4/28/19,99
5/5/19,55
5/12/19,44
5/19/19,28
5/26/19,0
6/2/19,0
6/9/19,0
6/16/19,18
6/23/19,18
6/30/19,18
7/7/19,0
7/14/19,18
7/21/19,31
7/28/19,28
8/4/19,18
8/11/19,18
8/18/19,24
8/25/19,17
9/1/19,33
9/8/19,34
9/15/19,16
9/22/19,16
9/29/19,17
10/6/19,23
10/13/19,17
10/20/19,33
10/27/19,16
11/3/19,42
