Category: All categories,
,
Week,DIS
11/13/16,23
11/20/16,22
11/27/16,24
12/4/16,24
12/11/16,14
12/18/16,23
12/25/16,22
1/1/17,21
1/8/17,29
1/15/17,24
1/22/17,16
1/29/17,17
2/5/17,21
2/12/17,31
2/19/17,22
2/26/17,33
3/5/17,39
3/12/17,43
3/19/17,43
3/26/17,45
4/2/17,32
4/9/17,42
4/16/17,42
4/23/17,42
4/30/17,40
5/7/17,41
5/14/17,36
5/21/17,39
5/28/17,41
6/4/17,33
6/11/17,34
6/18/17,30
6/25/17,31
7/2/17,35
7/9/17,36
7/16/17,52
7/23/17,44
7/30/17,29
8/6/17,46
8/13/17,32
8/20/17,35
8/27/17,24
9/3/17,27
9/10/17,38
9/17/17,28
9/24/17,28
10/1/17,27
10/8/17,39
10/15/17,31
10/22/17,45
10/29/17,34
11/5/17,60
11/12/17,46
11/19/17,31
11/26/17,52
12/3/17,65
12/10/17,99
12/17/17,62
12/24/17,74
12/31/17,55
1/7/18,43
1/14/18,43
1/21/18,39
1/28/18,30
2/4/18,43
2/11/18,38
2/18/18,56
2/25/18,53
3/4/18,39
3/11/18,38
3/18/18,44
3/25/18,40
4/1/18,57
4/8/18,50
4/15/18,39
4/22/18,44
4/29/18,56
5/6/18,51
5/13/18,50
5/20/18,46
5/27/18,45
6/3/18,67
6/10/18,51
6/17/18,73
6/24/18,74
7/1/18,47
7/8/18,62
7/15/18,59
7/22/18,68
7/29/18,35
8/5/18,63
8/12/18,46
8/19/18,54
8/26/18,44
9/2/18,33
9/9/18,38
9/16/18,42
9/23/18,48
9/30/18,39
10/7/18,55
10/14/18,62
10/21/18,43
10/28/18,41
11/4/18,44
11/11/18,40
11/18/18,47
11/25/18,42
12/2/18,48
12/9/18,41
12/16/18,44
12/23/18,61
12/30/18,66
1/6/19,40
1/13/19,38
1/20/19,51
1/27/19,49
2/3/19,52
2/10/19,48
2/17/19,42
2/24/19,50
3/3/19,58
3/10/19,59
3/17/19,100
3/24/19,63
3/31/19,65
4/7/19,65
4/14/19,56
4/21/19,53
4/28/19,61
5/5/19,56
5/12/19,51
5/19/19,53
5/26/19,47
6/2/19,57
6/9/19,45
6/16/19,63
6/23/19,40
6/30/19,57
7/7/19,90
7/14/19,52
7/21/19,65
7/28/19,64
8/4/19,69
8/11/19,55
8/18/19,80
8/25/19,78
9/1/19,59
9/8/19,46
9/15/19,60
9/22/19,59
9/29/19,60
10/6/19,60
10/13/19,42
10/20/19,50
10/27/19,61
11/3/19,59
