week,FB
11/13/16,87
11/20/16,58
11/27/16,55
12/4/16,58
12/11/16,67
12/18/16,63
12/25/16,58
1/1/17,58
1/8/17,58
1/15/17,56
1/22/17,58
1/29/17,52
2/5/17,50
2/12/17,50
2/19/17,56
2/26/17,54
3/5/17,58
3/12/17,53
3/19/17,58
3/26/17,57
4/2/17,58
4/9/17,53
4/16/17,89
4/23/17,60
4/30/17,65
5/7/17,57
5/14/17,58
5/21/17,57
5/28/17,57
6/4/17,53
6/11/17,56
6/18/17,52
6/25/17,51
7/2/17,43
7/9/17,50
7/16/17,45
7/23/17,55
7/30/17,49
8/6/17,48
8/13/17,45
8/20/17,43
8/27/17,37
9/3/17,44
9/10/17,44
9/17/17,45
9/24/17,48
10/1/17,45
10/8/17,45
10/15/17,37
10/22/17,41
10/29/17,49
11/5/17,45
11/12/17,35
11/19/17,41
11/26/17,38
12/3/17,38
12/10/17,35
12/17/17,39
12/24/17,41
12/31/17,42
1/7/18,41
1/14/18,40
1/21/18,43
1/28/18,43
2/4/18,37
2/11/18,42
2/18/18,39
2/25/18,37
3/4/18,36
3/11/18,34
3/18/18,100
3/25/18,91
4/1/18,68
4/8/18,75
4/15/18,48
4/22/18,42
4/29/18,38
5/6/18,37
5/13/18,33
5/20/18,37
5/27/18,33
6/3/18,37
6/10/18,35
6/17/18,41
6/24/18,38
7/1/18,37
7/8/18,37
7/15/18,38
7/22/18,71
7/29/18,52
8/5/18,40
8/12/18,43
8/19/18,39
8/26/18,32
9/2/18,43
9/9/18,32
9/16/18,33
9/23/18,41
9/30/18,46
10/7/18,45
10/14/18,37
10/21/18,37
10/28/18,39
11/4/18,33
11/11/18,49
11/18/18,46
11/25/18,40
12/2/18,34
12/9/18,39
12/16/18,45
12/23/18,37
12/30/18,38
1/6/19,35
1/13/19,36
1/20/19,34
1/27/19,37
2/3/19,31
2/10/19,33
2/17/19,30
2/24/19,33
3/3/19,32
3/10/19,68
3/17/19,36
3/24/19,35
3/31/19,33
4/7/19,32
4/14/19,37
4/21/19,40
4/28/19,41
5/5/19,38
5/12/19,33
5/19/19,30
5/26/19,32
6/2/19,35
6/9/19,33
6/16/19,42
6/23/19,31
6/30/19,40
7/7/19,40
7/14/19,33
7/21/19,40
7/28/19,32
8/4/19,35
8/11/19,38
8/18/19,34
8/25/19,36
9/1/19,30
9/8/19,31
9/15/19,35
9/22/19,30
9/29/19,32
10/6/19,30
10/13/19,35
10/20/19,34
10/27/19,33
11/3/19,35
