Category: All categories,
,
Week,INTC
11/13/16,17
11/20/16,14
11/27/16,20
12/4/16,16
12/11/16,16
12/18/16,15
12/25/16,10
1/1/17,38
1/8/17,18
1/15/17,14
1/22/17,14
1/29/17,14
2/5/17,38
2/12/17,21
2/19/17,22
2/26/17,24
3/5/17,23
3/12/17,19
3/19/17,24
3/26/17,25
4/2/17,20
4/9/17,21
4/16/17,20
4/23/17,23
4/30/17,29
5/7/17,27
5/14/17,34
5/21/17,23
5/28/17,28
6/4/17,24
6/11/17,20
6/18/17,30
6/25/17,20
7/2/17,15
7/9/17,22
7/16/17,17
7/23/17,17
7/30/17,17
8/6/17,25
8/13/17,16
8/20/17,17
8/27/17,13
9/3/17,13
9/10/17,18
9/17/17,19
9/24/17,19
10/1/17,18
10/8/17,16
10/15/17,15
10/22/17,27
10/29/17,16
11/5/17,18
11/12/17,11
11/19/17,22
11/26/17,19
12/3/17,13
12/10/17,16
12/17/17,10
12/24/17,7
12/31/17,100
1/7/18,47
1/14/18,19
1/21/18,36
1/28/18,22
2/4/18,18
2/11/18,22
2/18/18,13
2/25/18,19
3/4/18,25
3/11/18,21
3/18/18,20
3/25/18,13
4/1/18,18
4/8/18,19
4/15/18,21
4/22/18,20
4/29/18,18
5/6/18,18
5/13/18,16
5/20/18,12
5/27/18,19
6/3/18,17
6/10/18,9
6/17/18,27
6/24/18,28
7/1/18,23
7/8/18,24
7/15/18,20
7/22/18,23
7/29/18,17
8/5/18,17
8/12/18,26
8/19/18,23
8/26/18,18
9/2/18,17
9/9/18,21
9/16/18,20
9/23/18,17
9/30/18,18
10/7/18,17
10/14/18,23
10/21/18,20
10/28/18,12
11/4/18,14
11/11/18,10
11/18/18,10
11/25/18,15
12/2/18,17
12/9/18,18
12/16/18,15
12/23/18,12
12/30/18,10
1/6/19,11
1/13/19,14
1/20/19,19
1/27/19,19
2/3/19,14
2/10/19,6
2/17/19,12
2/24/19,9
3/3/19,16
3/10/19,10
3/17/19,12
3/24/19,23
3/31/19,21
4/7/19,21
4/14/19,23
4/21/19,29
4/28/19,15
5/5/19,17
5/12/19,21
5/19/19,24
5/26/19,18
6/2/19,14
6/9/19,23
6/16/19,9
6/23/19,12
6/30/19,12
7/7/19,16
7/14/19,19
7/21/19,27
7/28/19,15
8/4/19,15
8/11/19,11
8/18/19,15
8/25/19,13
9/1/19,14
9/8/19,15
9/15/19,10
9/22/19,12
9/29/19,11
10/6/19,13
10/13/19,13
10/20/19,14
10/27/19,13
11/3/19,14
