week,T
11/13/16,20
11/20/16,19
11/27/16,67
12/4/16,32
12/11/16,24
12/18/16,23
12/25/16,13
1/1/17,24
1/8/17,24
1/15/17,21
1/22/17,21
1/29/17,19
2/5/17,11
2/12/17,28
2/19/17,27
2/26/17,31
3/5/17,36
3/12/17,29
3/19/17,27
3/26/17,35
4/2/17,44
4/9/17,32
4/16/17,29
4/23/17,32
4/30/17,28
5/7/17,31
5/14/17,36
5/21/17,30
5/28/17,30
6/4/17,28
6/11/17,25
6/18/17,22
6/25/17,18
7/2/17,25
7/9/17,27
7/16/17,32
7/23/17,26
7/30/17,35
8/6/17,23
8/13/17,23
8/20/17,23
8/27/17,25
9/3/17,16
9/10/17,32
9/17/17,32
9/24/17,23
10/1/17,23
10/8/17,29
10/15/17,19
10/22/17,36
10/29/17,33
11/5/17,35
11/12/17,50
11/19/17,42
11/26/17,30
12/3/17,24
12/10/17,33
12/17/17,40
12/24/17,37
12/31/17,33
1/7/18,35
1/14/18,20
1/21/18,23
1/28/18,24
2/4/18,24
2/11/18,27
2/18/18,26
2/25/18,31
3/4/18,31
3/11/18,24
3/18/18,29
3/25/18,27
4/1/18,28
4/8/18,30
4/15/18,27
4/22/18,29
4/29/18,35
5/6/18,47
5/13/18,35
5/20/18,20
5/27/18,36
6/3/18,34
6/10/18,100
6/17/18,42
6/24/18,34
7/1/18,33
7/8/18,37
7/15/18,39
7/22/18,30
7/29/18,26
8/5/18,29
8/12/18,31
8/19/18,31
8/26/18,25
9/2/18,26
9/9/18,33
9/16/18,23
9/23/18,27
9/30/18,30
10/7/18,23
10/14/18,53
10/21/18,35
10/28/18,28
11/4/18,24
11/11/18,30
11/18/18,31
11/25/18,20
12/2/18,31
12/9/18,28
12/16/18,25
12/23/18,23
12/30/18,23
1/6/19,27
1/13/19,23
1/20/19,23
1/27/19,41
2/3/19,28
2/10/19,20
2/17/19,22
2/24/19,33
3/3/19,25
3/10/19,29
3/17/19,24
3/24/19,35
3/31/19,27
4/7/19,23
4/14/19,19
4/21/19,33
4/28/19,26
5/5/19,22
5/12/19,22
5/19/19,33
5/26/19,25
6/2/19,26
6/9/19,22
6/16/19,15
6/23/19,20
6/30/19,25
7/7/19,21
7/14/19,31
7/21/19,35
7/28/19,32
8/4/19,24
8/11/19,29
8/18/19,36
8/25/19,41
9/1/19,27
9/8/19,32
9/15/19,28
9/22/19,26
9/29/19,19
10/6/19,26
10/13/19,26
10/20/19,26
10/27/19,32
11/3/19,32
