week,AMZN
11/13/16,28
11/20/16,32
11/27/16,40
12/4/16,29
12/11/16,36
12/18/16,32
12/25/16,48
1/1/17,34
1/8/17,31
1/15/17,27
1/22/17,22
1/29/17,26
2/5/17,24
2/12/17,25
2/19/17,35
2/26/17,61
3/5/17,36
3/12/17,34
3/19/17,32
3/26/17,40
4/2/17,36
4/9/17,36
4/16/17,35
4/23/17,38
4/30/17,30
5/7/17,38
5/14/17,41
5/21/17,34
5/28/17,40
6/4/17,46
6/11/17,57
6/18/17,50
6/25/17,42
7/2/17,33
7/9/17,49
7/16/17,39
7/23/17,42
7/30/17,38
8/6/17,37
8/13/17,33
8/20/17,36
8/27/17,30
9/3/17,32
9/10/17,37
9/17/17,54
9/24/17,49
10/1/17,47
10/8/17,41
10/15/17,61
10/22/17,66
10/29/17,43
11/5/17,48
11/12/17,45
11/19/17,41
11/26/17,47
12/3/17,46
12/10/17,37
12/17/17,52
12/24/17,46
12/31/17,46
1/7/18,37
1/14/18,53
1/21/18,42
1/28/18,56
2/4/18,44
2/11/18,38
2/18/18,32
2/25/18,48
3/4/18,39
3/11/18,40
3/18/18,41
3/25/18,48
4/1/18,55
4/8/18,34
4/15/18,43
4/22/18,41
4/29/18,43
5/6/18,36
5/13/18,39
5/20/18,37
5/27/18,38
6/3/18,42
6/10/18,34
6/17/18,41
6/24/18,42
7/1/18,35
7/8/18,42
7/15/18,94
7/22/18,49
7/29/18,41
8/5/18,33
8/12/18,42
8/19/18,34
8/26/18,33
9/2/18,36
9/9/18,40
9/16/18,42
9/23/18,38
9/30/18,50
10/7/18,34
10/14/18,41
10/21/18,47
10/28/18,41
11/4/18,45
11/11/18,64
11/18/18,58
11/25/18,57
12/2/18,46
12/9/18,52
12/16/18,47
12/23/18,38
12/30/18,36
1/6/19,39
1/13/19,34
1/20/19,30
1/27/19,34
2/3/19,35
2/10/19,79
2/17/19,55
2/24/19,43
3/3/19,46
3/10/19,34
3/17/19,34
3/24/19,23
3/31/19,37
4/7/19,35
4/14/19,36
4/21/19,41
4/28/19,31
5/5/19,30
5/12/19,40
5/19/19,35
5/26/19,39
6/2/19,33
6/9/19,37
6/16/19,37
6/23/19,37
6/30/19,37
7/7/19,40
7/14/19,72
7/21/19,41
7/28/19,43
8/4/19,35
8/11/19,46
8/18/19,100
8/25/19,60
9/1/19,43
9/8/19,41
9/15/19,38
9/22/19,38
9/29/19,34
10/6/19,33
10/13/19,30
10/20/19,38
10/27/19,37
11/3/19,36
