week,BAC
11/13/16,42
11/20/16,66
11/27/16,50
12/4/16,55
12/11/16,41
12/18/16,54
12/25/16,37
1/1/17,60
1/8/17,94
1/15/17,51
1/22/17,51
1/29/17,52
2/5/17,58
2/12/17,55
2/19/17,80
2/26/17,88
3/5/17,44
3/12/17,83
3/19/17,69
3/26/17,56
4/2/17,55
4/9/17,75
4/16/17,58
4/23/17,63
4/30/17,56
5/7/17,46
5/14/17,74
5/21/17,56
5/28/17,78
6/4/17,78
6/11/17,93
6/18/17,56
6/25/17,80
7/2/17,74
7/9/17,66
7/16/17,100
7/23/17,47
7/30/17,63
8/6/17,71
8/13/17,36
8/20/17,50
8/27/17,47
9/3/17,45
9/10/17,55
9/17/17,49
9/24/17,47
10/1/17,42
10/8/17,60
10/15/17,80
10/22/17,58
10/29/17,74
11/5/17,49
11/12/17,51
11/19/17,36
11/26/17,83
12/3/17,71
12/10/17,53
12/17/17,54
12/24/17,49
12/31/17,50
1/7/18,64
1/14/18,65
1/21/18,73
1/28/18,78
2/4/18,69
2/11/18,62
2/18/18,31
2/25/18,84
3/4/18,46
3/11/18,50
3/18/18,47
3/25/18,72
4/1/18,56
4/8/18,84
4/15/18,51
4/22/18,38
4/29/18,77
5/6/18,54
5/13/18,29
5/20/18,71
5/27/18,56
6/3/18,69
6/10/18,80
6/17/18,37
6/24/18,98
7/1/18,58
7/8/18,67
7/15/18,60
7/22/18,55
7/29/18,69
8/5/18,53
8/12/18,50
8/19/18,49
8/26/18,44
9/2/18,80
9/9/18,63
9/16/18,60
9/23/18,59
9/30/18,37
10/7/18,44
10/14/18,57
10/21/18,72
10/28/18,31
11/4/18,59
11/11/18,61
11/18/18,68
11/25/18,42
12/2/18,76
12/9/18,72
12/16/18,61
12/23/18,42
12/30/18,54
1/6/19,31
1/13/19,50
1/20/19,35
1/27/19,15
2/3/19,19
2/10/19,19
2/17/19,31
2/24/19,64
3/3/19,32
3/10/19,23
3/17/19,28
3/24/19,58
3/31/19,54
4/7/19,92
4/14/19,66
4/21/19,42
4/28/19,46
5/5/19,56
5/12/19,61
5/19/19,61
5/26/19,70
6/2/19,25
6/9/19,38
6/16/19,38
6/23/19,55
6/30/19,65
7/7/19,20
7/14/19,71
7/21/19,43
7/28/19,68
8/4/19,53
8/11/19,47
8/18/19,46
8/25/19,39
9/1/19,79
9/8/19,35
9/15/19,77
9/22/19,46
9/29/19,59
10/6/19,71
10/13/19,78
10/20/19,81
10/27/19,80
11/3/19,58
