week,JPM
11/13/16,41
11/20/16,22
11/27/16,31
12/4/16,27
12/11/16,37
12/18/16,24
12/25/16,26
1/1/17,39
1/8/17,43
1/15/17,55
1/22/17,23
1/29/17,31
2/5/17,23
2/12/17,21
2/19/17,39
2/26/17,26
3/5/17,46
3/12/17,27
3/19/17,22
3/26/17,45
4/2/17,50
4/9/17,42
4/16/17,22
4/23/17,38
4/30/17,22
5/7/17,45
5/14/17,41
5/21/17,30
5/28/17,22
6/4/17,46
6/11/17,47
6/18/17,19
6/25/17,45
7/2/17,88
7/9/17,63
7/16/17,37
7/23/17,42
7/30/17,39
8/6/17,53
8/13/17,33
8/20/17,21
8/27/17,29
9/3/17,26
9/10/17,41
9/17/17,28
9/24/17,57
10/1/17,30
10/8/17,22
10/15/17,27
10/22/17,32
10/29/17,38
11/5/17,40
11/12/17,34
11/19/17,27
11/26/17,43
12/3/17,47
12/10/17,21
12/17/17,20
12/24/17,20
12/31/17,36
1/7/18,58
1/14/18,46
1/21/18,38
1/28/18,73
2/4/18,53
2/11/18,27
2/18/18,51
2/25/18,22
3/4/18,17
3/11/18,47
3/18/18,45
3/25/18,33
4/1/18,29
4/8/18,69
4/15/18,42
4/22/18,35
4/29/18,67
5/6/18,51
5/13/18,52
5/20/18,42
5/27/18,36
6/3/18,38
6/10/18,26
6/17/18,40
6/24/18,55
7/1/18,34
7/8/18,62
7/15/18,43
7/22/18,39
7/29/18,50
8/5/18,50
8/12/18,34
8/19/18,48
8/26/18,59
9/2/18,35
9/9/18,29
9/16/18,46
9/23/18,55
9/30/18,31
10/7/18,49
10/14/18,35
10/21/18,22
10/28/18,45
11/4/18,27
11/11/18,16
11/18/18,19
11/25/18,32
12/2/18,54
12/9/18,40
12/16/18,25
12/23/18,30
12/30/18,56
1/6/19,100
1/13/19,54
1/20/19,19
1/27/19,60
2/3/19,41
2/10/19,57
2/17/19,38
2/24/19,50
3/3/19,46
3/10/19,41
3/17/19,33
3/24/19,45
3/31/19,55
4/7/19,42
4/14/19,34
4/21/19,21
4/28/19,49
5/5/19,49
5/12/19,33
5/19/19,40
5/26/19,40
6/2/19,38
6/9/19,52
6/16/19,45
6/23/19,35
6/30/19,20
7/7/19,86
7/14/19,94
7/21/19,25
7/28/19,39
8/4/19,54
8/11/19,28
8/18/19,42
8/25/19,46
9/1/19,38
9/8/19,46
9/15/19,47
9/22/19,51
9/29/19,72
10/6/19,46
10/13/19,39
10/20/19,45
10/27/19,50
11/3/19,38
