week,MSFT
11/13/16,100
11/20/16,65
11/27/16,50
12/4/16,99
12/11/16,75
12/18/16,47
12/25/16,41
1/1/17,50
1/8/17,65
1/15/17,82
1/22/17,84
1/29/17,79
2/5/17,51
2/12/17,55
2/19/17,47
2/26/17,34
3/5/17,42
3/12/17,40
3/19/17,43
3/26/17,35
4/2/17,40
4/9/17,51
4/16/17,41
4/23/17,39
4/30/17,56
5/7/17,60
5/14/17,58
5/21/17,52
5/28/17,40
6/4/17,54
6/11/17,52
6/18/17,37
6/25/17,42
7/2/17,55
7/9/17,43
7/16/17,54
7/23/17,38
7/30/17,28
8/6/17,38
8/13/17,31
8/20/17,29
8/27/17,34
9/3/17,23
9/10/17,25
9/17/17,27
9/24/17,44
10/1/17,30
10/8/17,29
10/15/17,41
10/22/17,36
10/29/17,30
11/5/17,25
11/12/17,22
11/19/17,31
11/26/17,31
12/3/17,27
12/10/17,39
12/17/17,37
12/24/17,22
12/31/17,25
1/7/18,27
1/14/18,31
1/21/18,39
1/28/18,41
2/4/18,35
2/11/18,32
2/18/18,37
2/25/18,29
3/4/18,25
3/11/18,37
3/18/18,33
3/25/18,40
4/1/18,56
4/8/18,47
4/15/18,33
4/22/18,39
4/29/18,51
5/6/18,46
5/13/18,38
5/20/18,32
5/27/18,32
6/3/18,50
6/10/18,63
6/17/18,37
6/24/18,36
7/1/18,38
7/8/18,43
7/15/18,52
7/22/18,36
7/29/18,41
8/5/18,37
8/12/18,51
8/19/18,42
8/26/18,42
9/2/18,38
9/9/18,35
9/16/18,40
9/23/18,45
9/30/18,49
10/7/18,41
10/14/18,60
10/21/18,51
10/28/18,30
11/4/18,44
11/11/18,33
11/18/18,39
11/25/18,33
12/2/18,52
12/9/18,37
12/16/18,46
12/23/18,34
12/30/18,33
1/6/19,45
1/13/19,41
1/20/19,31
1/27/19,47
2/3/19,35
2/10/19,39
2/17/19,38
2/24/19,44
3/3/19,38
3/10/19,27
3/17/19,43
3/24/19,29
3/31/19,34
4/7/19,42
4/14/19,35
4/21/19,59
4/28/19,41
5/5/19,60
5/12/19,43
5/19/19,33
5/26/19,36
6/2/19,46
6/9/19,43
6/16/19,47
6/23/19,35
6/30/19,35
7/7/19,42
7/14/19,55
7/21/19,44
7/28/19,38
8/4/19,35
8/11/19,41
8/18/19,30
8/25/19,30
9/1/19,30
9/8/19,31
9/15/19,41
9/22/19,38
9/29/19,67
10/6/19,36
10/13/19,28
10/20/19,66
10/27/19,51
11/3/19,54
