week,VZ
11/13/16,19
11/20/16,20
11/27/16,14
12/4/16,14
12/11/16,14
12/18/16,15
12/25/16,15
1/1/17,16
1/8/17,25
1/15/17,17
1/22/17,22
1/29/17,16
2/5/17,32
2/12/17,100
2/19/17,29
2/26/17,30
3/5/17,27
3/12/17,29
3/19/17,24
3/26/17,30
4/2/17,40
4/9/17,18
4/16/17,32
4/23/17,22
4/30/17,25
5/7/17,26
5/14/17,24
5/21/17,21
5/28/17,31
6/4/17,25
6/11/17,27
6/18/17,25
6/25/17,23
7/2/17,24
7/9/17,29
7/16/17,33
7/23/17,26
7/30/17,31
8/6/17,29
8/13/17,24
8/20/17,28
8/27/17,15
9/3/17,19
9/10/17,28
9/17/17,26
9/24/17,19
10/1/17,25
10/8/17,20
10/15/17,25
10/22/17,27
10/29/17,28
11/5/17,23
11/12/17,34
11/19/17,27
11/26/17,24
12/3/17,20
12/10/17,20
12/17/17,18
12/24/17,26
12/31/17,13
1/7/18,20
1/14/18,19
1/21/18,25
1/28/18,20
2/4/18,13
2/11/18,18
2/18/18,14
2/25/18,22
3/4/18,20
3/11/18,14
3/18/18,16
3/25/18,20
4/1/18,20
4/8/18,32
4/15/18,15
4/22/18,15
4/29/18,21
5/6/18,20
5/13/18,27
5/20/18,24
5/27/18,14
6/3/18,17
6/10/18,31
6/17/18,16
6/24/18,20
7/1/18,25
7/8/18,17
7/15/18,28
7/22/18,19
7/29/18,19
8/5/18,19
8/12/18,21
8/19/18,26
8/26/18,18
9/2/18,20
9/9/18,38
9/16/18,28
9/23/18,47
9/30/18,30
10/7/18,29
10/14/18,32
10/21/18,34
10/28/18,21
11/4/18,25
11/11/18,22
11/18/18,28
11/25/18,17
12/2/18,18
12/9/18,40
12/16/18,24
12/23/18,18
12/30/18,20
1/6/19,16
1/13/19,17
1/20/19,21
1/27/19,18
2/3/19,21
2/10/19,9
2/17/19,16
2/24/19,24
3/3/19,22
3/10/19,36
3/17/19,12
3/24/19,18
3/31/19,22
4/7/19,20
4/14/19,20
4/21/19,18
4/28/19,16
5/5/19,25
5/12/19,18
5/19/19,17
5/26/19,17
6/2/19,17
6/9/19,18
6/16/19,14
6/23/19,22
6/30/19,20
7/7/19,21
7/14/19,21
7/21/19,19
7/28/19,33
8/4/19,22
8/11/19,13
8/18/19,19
8/25/19,22
9/1/19,18
9/8/19,20
9/15/19,22
9/22/19,18
9/29/19,19
10/6/19,25
10/13/19,34
10/20/19,18
10/27/19,24
11/3/19,17
