Category: All categories,
,
Week,WMT
11/13/16,33
11/20/16,33
11/27/16,20
12/4/16,21
12/11/16,19
12/18/16,20
12/25/16,18
1/1/17,14
1/8/17,17
1/15/17,19
1/22/17,16
1/29/17,18
2/5/17,14
2/12/17,17
2/19/17,26
2/26/17,29
3/5/17,24
3/12/17,25
3/19/17,25
3/26/17,27
4/2/17,23
4/9/17,21
4/16/17,23
4/23/17,24
4/30/17,25
5/7/17,24
5/14/17,26
5/21/17,27
5/28/17,30
6/4/17,28
6/11/17,29
6/18/17,31
6/25/17,31
7/2/17,30
7/9/17,32
7/16/17,35
7/23/17,39
7/30/17,28
8/6/17,32
8/13/17,28
8/20/17,31
8/27/17,31
9/3/17,22
9/10/17,27
9/17/17,29
9/24/17,26
10/1/17,25
10/8/17,25
10/15/17,23
10/22/17,29
10/29/17,40
11/5/17,34
11/12/17,37
11/19/17,61
11/26/17,31
12/3/17,34
12/10/17,35
12/17/17,43
12/24/17,44
12/31/17,30
1/7/18,32
1/14/18,34
1/21/18,36
1/28/18,36
2/4/18,24
2/11/18,30
2/18/18,33
2/25/18,38
3/4/18,29
3/11/18,27
3/18/18,26
3/25/18,35
4/1/18,34
4/8/18,31
4/15/18,33
4/22/18,28
4/29/18,29
5/6/18,35
5/13/18,27
5/20/18,25
5/27/18,37
6/3/18,29
6/10/18,35
6/17/18,35
6/24/18,34
7/1/18,38
7/8/18,27
7/15/18,29
7/22/18,32
7/29/18,30
8/5/18,33
8/12/18,36
8/19/18,35
8/26/18,31
9/2/18,29
9/9/18,29
9/16/18,27
9/23/18,29
9/30/18,28
10/7/18,26
10/14/18,31
10/21/18,26
10/28/18,24
11/4/18,33
11/11/18,31
11/18/18,68
11/25/18,37
12/2/18,38
12/9/18,39
12/16/18,37
12/23/18,52
12/30/18,26
1/6/19,25
1/13/19,20
1/20/19,31
1/27/19,25
2/3/19,24
2/10/19,21
2/17/19,33
2/24/19,27
3/3/19,22
3/10/19,27
3/17/19,23
3/24/19,23
3/31/19,24
4/7/19,23
4/14/19,24
4/21/19,30
4/28/19,23
5/5/19,30
5/12/19,25
5/19/19,29
5/26/19,24
6/2/19,32
6/9/19,26
6/16/19,30
6/23/19,36
6/30/19,32
7/7/19,30
7/14/19,34
7/21/19,33
7/28/19,56
8/4/19,100
8/11/19,64
8/18/19,34
8/25/19,31
9/1/19,45
9/8/19,26
9/15/19,30
9/22/19,24
9/29/19,25
10/6/19,23
10/13/19,26
10/20/19,25
10/27/19,25
11/3/19,31
