Category: All categories,
,
Week,XOM
11/13/16,23
11/20/16,16
11/27/16,24
12/4/16,36
12/11/16,56
12/18/16,19
12/25/16,13
1/1/17,33
1/8/17,25
1/15/17,30
1/22/17,13
1/29/17,17
2/5/17,21
2/12/17,14
2/19/17,28
2/26/17,26
3/5/17,51
3/12/17,35
3/19/17,27
3/26/17,39
4/2/17,38
4/9/17,35
4/16/17,66
4/23/17,40
4/30/17,15
5/7/17,32
5/14/17,27
5/21/17,21
5/28/17,39
6/4/17,28
6/11/17,36
6/18/17,42
6/25/17,26
7/2/17,41
7/9/17,13
7/16/17,26
7/23/17,30
7/30/17,19
8/6/17,28
8/13/17,13
8/20/17,25
8/27/17,31
9/3/17,15
9/10/17,17
9/17/17,16
9/24/17,24
10/1/17,7
10/8/17,27
10/15/17,20
10/22/17,35
10/29/17,31
11/5/17,16
11/12/17,14
11/19/17,21
11/26/17,28
12/3/17,29
12/10/17,24
12/17/17,15
12/24/17,9
12/31/17,15
1/7/18,30
1/14/18,14
1/21/18,12
1/28/18,36
2/4/18,18
2/11/18,10
2/18/18,15
2/25/18,33
3/4/18,24
3/11/18,13
3/18/18,13
3/25/18,33
4/1/18,20
4/8/18,16
4/15/18,31
4/22/18,18
4/29/18,47
5/6/18,30
5/13/18,17
5/20/18,27
5/27/18,28
6/3/18,26
6/10/18,30
6/17/18,29
6/24/18,9
7/1/18,13
7/8/18,21
7/15/18,24
7/22/18,27
7/29/18,25
8/5/18,21
8/12/18,9
8/19/18,22
8/26/18,27
9/2/18,11
9/9/18,35
9/16/18,21
9/23/18,31
9/30/18,37
10/7/18,38
10/14/18,9
10/21/18,26
10/28/18,15
11/4/18,17
11/11/18,17
11/18/18,28
11/25/18,20
12/2/18,26
12/9/18,15
12/16/18,26
12/23/18,16
12/30/18,20
1/6/19,35
1/13/19,20
1/20/19,29
1/27/19,43
2/3/19,20
2/10/19,20
2/17/19,18
2/24/19,28
3/3/19,24
3/10/19,35
3/17/19,24
3/24/19,22
3/31/19,25
4/7/19,29
4/14/19,25
4/21/19,29
4/28/19,29
5/5/19,33
5/12/19,33
5/19/19,39
5/26/19,25
6/2/19,24
6/9/19,13
6/16/19,29
6/23/19,35
6/30/19,14
7/7/19,18
7/14/19,24
7/21/19,16
7/28/19,100
8/4/19,28
8/11/19,38
8/18/19,32
8/25/19,18
9/1/19,20
9/8/19,21
9/15/19,32
9/22/19,26
9/29/19,21
10/6/19,18
10/13/19,27
10/20/19,26
10/27/19,35
11/3/19,44
